city,domain_source,polygon_file,CRS,lon_min,lon_max,lat_min,lat_max,retained_ERA5_cells,time_start_UTC,time_end_UTC,notes
Argentina_BuenosAires,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-59.5,-57.5,-35.4,-34.2,45,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Australia_Melbourne,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,144.3,145.7,-38.4,-37.3,20,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Australia_Sydney,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,150.2,151.6,-34.3,-33.4,24,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Bangladesh_Dhaka,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,90.0,90.7,23.4,24.1,9,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Brazil_Rio,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-43.8,-42.7,-23.2,-22.4,15,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Brazil_SaoPaulo,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-47.3,-45.8,-24.1,-22.6,36,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Canada_Toronto,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-80.0,-78.8,43.2,44.2,20,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
China_GBA,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,111.7,115.7,21.2,24.9,240,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
China_JJJ,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,113.5,119.8,37.0,41.6,494,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
China_YRD,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,117.6,123.2,29.0,33.8,440,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Egypt_Cairo,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,30.5,32.0,29.6,30.5,28,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
France_Paris,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,1.2,2.9,48.2,49.3,35,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Germany_RhineRuhr,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,6.0,8.2,50.2,52.0,72,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
India_DelhiNCR,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,76.3,78.2,27.6,29.0,42,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
India_Kolkata,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,87.7,88.8,22.2,23.1,20,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
India_Mumbai,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,72.5,73.4,18.7,19.6,16,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Indonesia_Jakarta,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,106.2,107.3,-6.9,6.0,260,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Israel_TelAviv,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,34.6,35.1,31.7,32.4,6,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Italy_Milan,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,8.5,10.3,44.7,46.0,48,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Japan_Kansai,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,134.3,136.3,33.5,35.9,80,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Japan_Kanto,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,138.6,141.2,34.7,36.8,90,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Kenya_Nairobi,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,36.5,37.2,-1.6,-0.8,9,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Korea_SeoulMetro,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,126.2,127.8,36.6,38.0,42,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Mexico_MexicoCity,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-99.6,-98.7,19.1,19.9,12,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Netherlands_Randstad,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,3.7,5.6,51.4,52.3,32,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Nigeria_Lagos,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,2.7,4.4,5.9,7.3,42,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Philippines_Manila,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,120.6,121.9,14.0,15.6,35,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Russia_Moscow,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,36.2,38.4,54.7,56.2,54,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Saudi_Riyadh,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,46.0,47.2,24.2,25.2,20,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Singapore_Johor_Riau,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,103.0,104.6,0.8,1.9,28,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
SouthAfrica_Johannesburg,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,27.0,28.6,-26.8,-25.3,42,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
Spain_Madrid,ERA5 download bbox from arco_era5_2015_2025_global_urban_clusters_to_netcdf.py,NA_not_preserved_in_workspace,EPSG:4326,-4.6,-2.7,39.4,41.2,56,2015-01-01 00:00,2025-12-31 23:00,10 m and 100 m cross-height framework; retained_ERA5_cells is a 0.25-degree bbox cell estimate because a polygon-retention ledger was not preserved in this workspace.
