figure,panel,item,value,uncertainty_sd,color,n
Fig2,B,Constrained SMII,1.287785058952507,,#0E6973,
Fig2,B,Mixing deficit,0.8992476110223846,,#176F63,
Fig2,B,Simple SMII,0.3890205037150194,,#7666A7,
Fig2,B,Shear,-0.5102271073073652,,#53606E,
Fig2,B,Bulk wind,-0.6486543873006534,,#B95B4B,
Fig2,C,All cells,0.1916167664670658,,#8B949E,167.0
Fig2,C,Wind top,0.1470588235294117,,#B95B4B,34.0
Fig2,C,Simple SMII,0.1764705882352941,,#7666A7,34.0
Fig2,C,Mixing deficit,0.4705882352941176,,#176F63,34.0
Fig2,C,Constrained state,0.5161290322580645,,#0E6973,31.0
Fig2,D,Simple SMII,0.576031746031746,0.1098464307439742,#7666A7,
Fig2,D,Shear only,0.6406701940035273,0.0971044414082419,#53606E,
Fig2,D,Bulk wind,0.7065520282186948,0.1103001433575229,#B95B4B,
Fig2,D,Constrained SMII,0.7117283950617284,0.0905010692199252,#0E6973,
Fig2,D,Mixing deficit,0.7471693121693123,0.0956881793249969,#176F63,
Fig2,D,BLH + shear,0.761031746031746,0.1054926219384108,#236192,
Fig2,D,BLH x shear,0.795405643738977,0.0738087857832919,#236192,
Fig2,D,BLH x shear x gust,0.8435097001763668,0.0700908350872271,#236192,
