record,doi,filename,size,checksum,url
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_map.pdf,3927300,md5:7de2321cf7d2d3b9529dbcddfa149f65,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_map.pdf/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_data_availability_weather.pdf,645078,md5:5602b20699fdd3ce9d562e51c8ec6cfa,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_data_availability_weather.pdf/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_data_availability_weather.xlsx,206305,md5:995a9bac8cc4bb433abf52ea4448bd01,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_data_availability_weather.xlsx/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_02_3600s.tar.gz,2603949,md5:4ac181facdee09dee11a08c0cea56291,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_02_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_07_3600s.tar.gz,8719735,md5:36b34801070f08d70af6768eff7cfabd,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_07_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_11_600s.tar.gz,32766251,md5:fb370eda02f72d271b7bb9031bff9160,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_11_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2024_03_600s.tar.gz,3205737,md5:89d03a282bc2831c6f3cead678869dfc,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2024_03_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_01_600s.tar.gz,8736850,md5:a71b64ed55042175a10f2966c9f63b09,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_01_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2024_03_3600s.tar.gz,919791,md5:4198ae9208c2c1907aba928bbde9bd26,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2024_03_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_09_600s.tar.gz,41086945,md5:d54e019db69ea62e18a906e5b98d8688,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_09_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_02_600s.tar.gz,9510540,md5:b16e61af801531d5f7965bb5f8234bb8,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_02_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_05_600s.tar.gz,20816687,md5:612b0fe973cf43846b06edce4914afc8,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_05_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2024_02_3600s.tar.gz,5319888,md5:766d8ef4f5f70460c348493366060a0c,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2024_02_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_06_3600s.tar.gz,7100973,md5:6df97bd697b676e9d01e5e04a21136a1,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_06_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_08_600s.tar.gz,46392190,md5:ff280f35ca25d0acabcff04f73a0cc94,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_08_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_07_600s.tar.gz,33533326,md5:0447a3c8606d44a1e5a639373a321770,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_07_600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_09_3600s.tar.gz,10132774,md5:5b71201531a840291e6b89f89a50ea6c,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_09_3600s.tar.gz/content
17710093,10.5281/zenodo.17710093,paris_dwl_L3V1.42_2023_08_3600s.tar.gz,11742053,md5:eff811f04297db2dbd950a4c674f1dc7,https://zenodo.org/api/records/17710093/files/paris_dwl_L3V1.42_2023_08_3600s.tar.gz/content
