city,included_in_download_catalogue_42,included_in_main13_analysis,included_in_fig1_regime_summary,included_in_fig4_typology,included_in_hourly_meteorology_fixed_v1,included_in_hotspot11_subset,selection_role,documented_hourly_issue,reconstructed_reason,evidence_files
Argentina_BuenosAires,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Australia_Melbourne,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Australia_Sydney,1,1,1,1,1,0,main13_not_hotspot11,2025-11 gust missing month (n_hours=720),"Retained in the 13-city main-analysis layer, but absent from the preserved hotspot_membership_table.csv. The support bundle therefore treats the hotspot layer as an 11-city complete-case subset. A repaired hourly-meteorology summary documents one month with fully missing gust values, but the bundle does not preserve a city-level hotspot-exclusion ledger that would attribute the hotspot exclusion uniquely to that month.",01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 06_provenance/city_hourly_mean_meteorology_missing_gust_months_v1.csv
Bangladesh_Dhaka,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Brazil_Rio,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Brazil_SaoPaulo,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
Canada_Toronto,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
China_GBA,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
China_JJJ,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
China_YRD,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
