response,state_group,n_rows,n_cities,vd_occ_mean,vd_occ_ci95,vd_persistence_mean,vd_persistence_ci95,vd_largest_frac_mean,vd_pc_mean,vd_anis_mean,blh_mean,shear_mean,gust_mean,dominant_quadrant,abs_vd_occ_mean,abs_vd_persistence_mean
ar1,gust_high,13,13,-0.1937183781054502,0.1383564386551868,-0.0400323774952312,0.0686001809215498,-0.215605711000127,-0.0827415687168009,90909090911.61562,805.8690512988788,1.8035803530223569,9.155878710358191,,0.1937183781054502,0.0400323774952312
ar1,shear_extreme,13,13,-0.1554053442747068,0.1324876866847313,-0.1300016366670329,0.1383359133191748,-0.1120381142880517,-0.1092270538778305,1166666666659.7302,545.9119263617337,2.7702068851632515,8.907723559196343,Q3_10m_occ_10m_persist,0.1554053442747068,0.1300016366670329
ar1,gust_extreme,13,13,-0.1541267374434691,0.1210267106726148,-0.1030619997639579,0.1978342893613104,-0.0115191219480664,-0.0014914922138555,-30303030302.09283,935.8432468843909,2.075404601004951,10.873351662290244,,0.1541267374434691,0.1030619997639579
ar1,shear_moderate,13,13,-0.1477180469450812,0.1105281607645398,-0.0424936874527748,0.1836071375543419,-0.1630680321616077,-0.2825487329279026,89743589744.34514,474.0688091575943,1.6379411673283475,6.506516316518781,,0.1477180469450812,0.0424936874527748
ar1,stable_like,13,13,-0.1399535271542692,0.1311655188146174,-0.0414454827366585,0.2272159938347906,0.0631151106515452,0.0631601522421268,-230769230766.3916,201.49235746530988,1.3536820353323065,4.438591437324783,,0.1399535271542692,0.0414454827366585
ar1,stable_shear_high,13,13,0.099339913641093,0.0989677467878479,0.0435882553015972,0.2485896040083729,0.0885948079807366,0.2100583286981154,-38461538464.248276,230.4126699340463,2.110573231203245,5.598692224161948,,0.099339913641093,0.0435882553015972
ar1,gust_shear_compound,13,13,0.0794172836390156,0.0535075253291417,0.0552564203744004,0.1611936101154612,-0.0787987850913855,-0.1335621987189204,333333333334.30426,754.5755921376913,2.8883157362923098,11.085114312874166,Q1_100m_occ_100m_persist,0.0794172836390156,0.0552564203744004
ar1,unstable_like,13,13,-0.0778387747145466,0.0703816167616397,0.181790260728689,0.1768370479032438,0.0154967703144779,0.0834366774959365,128205128202.36562,966.667611377661,1.455881726894834,8.323512921228227,Q2_10m_occ_100m_persist,0.0778387747145466,0.181790260728689
ar1,shear_weak,13,13,0.0603467226722393,0.1186405374914296,-0.004523895054872,0.1997635610395604,-0.0177525674136473,-0.0953738969410654,781731100059.7676,616.0903723971456,0.6830312594122995,5.409350034376987,Q1_100m_occ_100m_persist,0.0603467226722393,0.004523895054872
ar1,night,13,13,-0.0319878862794286,0.0817701545890549,-0.1236302371545818,0.145168617593962,-0.0079793800061285,-0.1053362849236276,-38461538455.25566,487.04554394638546,1.5010076808708817,6.322063457277446,Q3_10m_occ_10m_persist,0.0319878862794286,0.1236302371545818
ar1,day,13,13,0.0030477952355166,0.0505879596292388,-0.1309039832157315,0.091767764521846,0.1200920582210051,0.0563391876889652,-1641025641025.8977,575.4644741456748,1.41563200913639,6.55463508993202,Q4_100m_occ_10m_persist,0.0030477952355166,0.1309039832157315
var,gust_extreme,13,13,0.0316506353041046,0.0271188157393197,-0.0069971930377909,0.1349320099074743,0.0461405843150993,0.0193594364876787,-3.1066781661240923,935.8432468843909,2.075404601004951,10.873351662290244,Q1_100m_occ_100m_persist,0.0316506353041046,0.0069971930377909
var,night,13,13,0.0316488370217001,0.0502256707733635,0.0209161086063643,0.1237748140294061,0.0042865829391301,0.0565417388171121,-76923076930.06381,487.04554394638546,1.5010076808708817,6.322063457277446,Q4_100m_occ_10m_persist,0.0316488370217001,0.0209161086063643
var,gust_high,13,13,0.0294811769377747,0.0304436284555338,-0.0108024426268673,0.1070100364347717,-0.0061275561499586,-0.0563531889635185,-303030303022.9994,805.8690512988788,1.8035803530223569,9.155878710358191,Q1_100m_occ_100m_persist,0.0294811769377747,0.0108024426268673
var,stable_like,13,13,0.0263088110218083,0.0143450077877451,-0.0506004438799128,0.0863096829002695,-0.2324814729939543,0.0341117623832314,2089743589742.2305,201.49235746530988,1.3536820353323065,4.438591437324783,Q4_100m_occ_10m_persist,0.0263088110218083,0.0506004438799128
var,shear_extreme,13,13,0.024747916230693,0.0132481639828685,-0.0094254129576322,0.092799265985608,0.0096494332380816,-0.0531073070600592,-307692307683.51294,545.9119263617337,2.7702068851632515,8.907723559196343,Q1_100m_occ_100m_persist,0.024747916230693,0.0094254129576322
var,day,13,13,-0.0145359202771053,0.0333670001054256,-0.0132017429837369,0.1681221190676232,0.0558052612660977,-0.0265131083637943,-153846153847.3721,575.4644741456748,1.41563200913639,6.55463508993202,Q4_100m_occ_10m_persist,0.0145359202771053,0.0132017429837369
var,shear_weak,13,13,0.0138695411915226,0.0263570301691596,-0.0636963023281411,0.1715393120182995,-0.1372888114285401,-0.0758486592284032,371794871798.86975,616.0903723971456,0.6830312594122995,5.409350034376987,Q4_100m_occ_10m_persist,0.0138695411915226,0.0636963023281411
var,stable_shear_high,13,13,0.0070800876644918,0.0120137802701408,-0.1020260049305832,0.1657874600104014,-0.0313192402053227,-0.029433536477806,-38461538463.03171,230.4126699340463,2.110573231203245,5.598692224161948,Q4_100m_occ_10m_persist,0.0070800876644918,0.1020260049305832
var,gust_shear_compound,13,13,0.0059172238313564,0.023180909300871,0.0137994670587861,0.0906263396116661,-0.1367133763108168,-0.1200479431983378,-45454545450.82798,754.5755921376913,2.8883157362923098,11.085114312874166,Q1_100m_occ_100m_persist,0.0059172238313564,0.0137994670587861
var,unstable_like,13,13,-0.0014642334079674,0.0295138352084625,-0.0043992769826742,0.0828097114522637,0.0072557559399755,-0.0267164276604481,1192555412450.477,966.667611377661,1.455881726894834,8.323512921228227,Q4_100m_occ_10m_persist,0.0014642334079674,0.0043992769826742
var,shear_moderate,13,13,0.001344828248387,0.0324528092318345,-0.1089836435795551,0.1211344618789218,0.0874816796199455,-0.0123000502081639,-346153846151.66656,474.0688091575943,1.6379411673283475,6.506516316518781,Q4_100m_occ_10m_persist,0.001344828248387,0.1089836435795551
