category,hotspot_count,nonhotspot_count,share_hotspot,share_nonhotspot,delta_share,enrichment_ratio,log2_enrichment
stable_like,5,3,0.15625,0.022222222222222223,0.13402777777777777,7.031249999728594,2.813781191161349
day,4,6,0.125,0.044444444444444446,0.08055555555555555,2.812499999959219,1.4918530963087557
shear_moderate,3,5,0.09375,0.037037037037037035,0.056712962962962965,2.5312499999586566,1.339850002861061
night,3,6,0.09375,0.044444444444444446,0.049305555555555554,2.109374999975039,1.076815597033759
stable_shear_high,2,4,0.0625,0.02962962962962963,0.03287037037037037,2.109374999962559,1.0768155970252231
shear_weak,3,7,0.09375,0.05185185185185185,0.04189814814814815,1.8080357142701309,0.8544231757019484
event_shear_leadlag,2,7,0.0625,0.05185185185185185,0.01064814814814815,1.2053571428531826,0.2694606749884868
event_shear_lag,2,8,0.0625,0.05925925925925926,0.0032407407407407385,1.0546874999990772,0.07681559704956858
event_shear_lead,2,8,0.0625,0.05925925925925926,0.0032407407407407385,1.0546874999990772,0.07681559704956858
gust_shear_compound,2,9,0.0625,0.06666666666666667,-0.004166666666666666,0.9375000000009375,-0.09310940439003881
event_gust_lead,1,6,0.03125,0.044444444444444446,-0.013194444444444446,0.7031250000066797,-0.5081469036566197
shear_extreme,1,7,0.03125,0.05185185185185185,-0.02060185185185185,0.602678571436234,-0.7305393249884304
event_gust_lag,1,8,0.03125,0.05925925925925926,-0.02800925925925926,0.5273437500079761,-0.9231844029273484
event_shear_core,1,8,0.03125,0.05925925925925926,-0.02800925925925926,0.5273437500079761,-0.9231844029273484
gust_extreme,0,7,0.0,0.05185185185185185,-0.05185185185185185,1.9285714285342347e-11,-35.59367646368295
gust_high,0,8,0.0,0.05925925925925926,-0.05925925925925926,1.6874999999715233e-11,-35.78632154162186
event_gust_core,0,9,0.0,0.06666666666666667,-0.06666666666666667,1.4999999999774997e-11,-35.95624654306147
unstable_like,0,9,0.0,0.06666666666666667,-0.06666666666666667,1.4999999999774997e-11,-35.95624654306147
event_gust_leadlag,0,10,0.0,0.07407407407407407,-0.07407407407407407,1.3499999999817749e-11,-36.108249636504354
