response,state_class,y_metric,x_driver,n,linear_slope,linear_intercept,linear_r2,spearman_r,spearman_p,spline_r2,nonlinear_gain_r2,spline_model_ok,nonlinear_gain_r2_abs,rank_score
var,regime,vd_anis,blh_mean,121,-694907952.5264528,703058450212.3317,0.0047720522340842,0.0319677545052364,0.7277769439702595,0.0879346695336115,0.0831626172995272,1,0.0831626172995272,0.0831626172995272
ar1,regime,vd_pc,blh_mean,77,-5.867888289672103e-05,0.0063518927807757,0.0032519446315726,-0.0613871928295,0.5958621098654016,0.076095038828155,0.0728430941965824,1,0.0728430941965824,0.0728430941965824
ar1,regime,vd_largest_frac,blh_mean,121,-7.74688579494928e-05,0.0096386063992838,0.005189479786164,-0.0959188996039223,0.2952973935395651,0.0538548135906001,0.0486653338044361,1,0.0486653338044361,0.0486653338044361
ar1,regime,vd_pc,shear_mean,77,0.0070082412350956,-0.0445776154588877,0.0004484950265353,-0.0607562323892825,0.599653436263627,0.0450822150481726,0.0446337200216373,1,0.0446337200216373,0.0446337200216373
var,regime,vd_occ,shear_mean,121,0.0027067074931609,0.0112701730993237,0.0022821251699678,0.1061247772637781,0.2466477460513139,0.0387387120249956,0.0364565868550278,1,0.0364565868550278,0.0364565868550278
ar1,regime,vd_persistence,blh_mean,94,8.19906503387366e-05,-0.0854607954050783,0.0068378353628413,0.0679238468591313,0.5153779044310507,0.0420771364894934,0.035239301126652,1,0.035239301126652,0.035239301126652
var,regime,vd_pc,shear_mean,77,0.0150492051503327,-0.070799661613702,0.0040002256668369,0.0594954846465812,0.6072609007393315,0.0295066807496985,0.0255064550828615,1,0.0255064550828615,0.0255064550828615
var,regime,vd_largest_frac,blh_mean,121,0.000107061800043,-0.0935341387560978,0.0107185719268126,0.0826514022490177,0.3674439463065659,0.0348208428042243,0.0241022708774116,1,0.0241022708774116,0.0241022708774116
var,regime,vd_largest_frac,shear_mean,121,0.0168612523429464,-0.0595505897434845,0.0026044488870066,0.0805649640970058,0.3797024028001102,0.020981693709433,0.0183772448224264,1,0.0183772448224264,0.0183772448224264
var,regime,vd_persistence,blh_mean,116,9.811249951622244e-05,-0.0946734442237119,0.0177896354477143,0.1012265044912193,0.2796011008301119,0.0360017388679007,0.0182121034201863,1,0.0182121034201863,0.0182121034201863
var,regime,vd_pc,blh_mean,77,6.418389849980264e-05,-0.0803319455316278,0.00752574456146,0.0925821251360742,0.4232248828589497,0.0237427634962498,0.0162170189347897,1,0.0162170189347897,0.0162170189347897
var,regime,vd_anis,shear_mean,121,-328219182626.3846,874197178424.3185,0.0104291012156154,-0.032689213681928,0.7218824674373212,0.0172301091061499,0.0068010078905345,1,0.0068010078905345,0.0068010078905345
ar1,regime,vd_occ,shear_mean,121,0.0014159879508753,-0.0672498457515132,3.398195311121732e-05,0.0532161942385036,0.5621082312201175,0.0064293180015128,0.0063953360484015,1,0.0063953360484015,0.0063953360484015
var,regime,vd_occ,blh_mean,121,-8.510093616816438e-07,0.0166265712288695,2.30280491539947e-05,-0.0002051829158003,0.9982178592114236,0.0050427432865578,0.0050197152374038,1,0.0050197152374038,0.0050197152374038
ar1,regime,vd_anis,shear_mean,121,190880436668.2477,-237120697525.2503,0.0027650223293833,0.0910293343246249,0.3207136745277263,0.0076964206162983,0.004931398286915,1,0.004931398286915,0.004931398286915
var,regime,vd_persistence,shear_mean,116,0.0382466346009467,-0.1046788959461137,0.0266333936528508,0.1518205355412321,0.1037595366290513,0.0286192756377505,0.0019858819848996,1,0.0019858819848996,0.0019858819848996
ar1,regime,vd_persistence,shear_mean,94,0.00497010437708,-0.0438310161477346,0.0003159395448534,-0.0551497418440325,0.5975379001302261,0.0019605351537873,0.0016445956089339,1,0.0016445956089339,0.0016445956089339
ar1,regime,vd_anis,blh_mean,121,-171216261.63799733,207274177744.5512,0.0002270897258276,0.0783004696402736,0.3932842738503764,0.0013027007062552,0.0010756109804276,1,0.0010756109804276,0.0010756109804276
ar1,regime,vd_largest_frac,shear_mean,121,-0.0273720524933802,0.0122125341168111,0.0063467674208897,-0.0947909998345764,0.3010386557500597,0.0069371865446655,0.0005904191237757,1,0.0005904191237757,0.0005904191237757
ar1,regime,vd_occ,blh_mean,121,4.061847208412235e-05,-0.0890614166287805,0.0028543554106191,0.0377715861153335,0.6808367913651818,0.0025966437934603,-0.0002577116171588,1,0.0002577116171588,0.0002577116171588
