station,target_height_m_agl,n_total_station_times,n_valid,valid_fraction,median_height_error_m,actual_altitude_m_asl,target_altitude_m_asl
PAARBO,10,5328,0,0.0,-8.0,100.0,108.0
PAARBO,20,5328,0,0.0,7.0,125.0,118.0
PAARBO,100,5328,5255,0.9862987987987988,2.0,200.0,198.0
PAARBO,200,5328,5255,0.9862987987987988,2.0,300.0,298.0
PAARBO,300,5328,5230,0.9816066066066066,2.0,400.0,398.0
PAARBO,500,5328,5114,0.9598348348348348,2.0,600.0,598.0
PACHEM,10,5328,0,0.0,-6.0,50.0,56.0
PACHEM,20,5328,0,0.0,9.0,75.0,66.0
PACHEM,100,5328,2467,0.4630255255255255,4.0,150.0,146.0
PACHEM,200,5328,5053,0.9483858858858859,4.0,250.0,246.0
PACHEM,300,5328,5050,0.9478228228228228,4.0,350.0,346.0
PACHEM,500,5328,4967,0.9322447447447447,4.0,550.0,546.0
PAJUSS,10,5328,0,0.0,3.0,50.0,47.0
PAJUSS,20,5328,0,0.0,-7.0,50.0,57.0
PAJUSS,100,5328,0,0.0,-12.0,125.0,137.0
PAJUSS,200,5328,0,0.0,-12.0,225.0,237.0
PAJUSS,300,5328,5286,0.9921171171171171,-12.0,325.0,337.0
PAJUSS,500,5328,5211,0.9780405405405406,-12.0,525.0,537.0
PALUPD,10,5328,0,0.0,1.0,50.0,49.0
PALUPD,20,5328,0,0.0,-9.0,50.0,59.0
PALUPD,100,5328,5301,0.9949324324324325,11.0,150.0,139.0
PALUPD,200,5328,5309,0.996433933933934,11.0,250.0,239.0
PALUPD,300,5328,5299,0.9945570570570571,11.0,350.0,339.0
PALUPD,500,5328,5135,0.9637762762762763,11.0,550.0,539.0
PAROIS,10,5328,0,0.0,7.0,125.0,118.0
PAROIS,20,5328,0,0.0,-3.0,125.0,128.0
PAROIS,100,5328,0,0.0,-8.0,200.0,208.0
PAROIS,200,5328,0,0.0,-8.0,300.0,308.0
PAROIS,300,5328,4719,0.8856981981981982,-8.0,400.0,408.0
PAROIS,500,5328,4554,0.8547297297297297,-8.0,600.0,608.0
PASIRT,10,5328,0,0.0,11.0,175.0,164.0
PASIRT,20,5328,0,0.0,1.0,175.0,174.0
PASIRT,100,5328,0,0.0,-4.0,250.0,254.0
PASIRT,200,5328,4990,0.9365615615615616,-4.0,350.0,354.0
PASIRT,300,5328,4949,0.9288663663663663,-4.0,450.0,454.0
PASIRT,500,5328,4695,0.8811936936936937,-4.0,650.0,654.0
