figure,panel,item,station_lon,station_lat,target_height_m_agl,valid_fraction,coverage_fraction,median_abs_shear_ms,shear_abs_100_300m_z_mean,shear_abs_100_300m_z_se
Fig5,A,PAARBO,2.2677,48.7717,,,,,,
Fig5,A,PACHEM,2.4447,48.9047,,,,,,
Fig5,A,PAJUSS,2.3555,48.8469,,,,,,
Fig5,A,PALUPD,2.3806,48.8278,,,,,,
Fig5,A,PAROIS,2.5337,49.016,,,,,,
Fig5,A,PASIRT,2.2086,48.7177,,,,,,
Fig5,B,PAARBO,,,10.0,0.0,,,,
Fig5,B,PAARBO,,,20.0,0.0,,,,
Fig5,B,PAARBO,,,100.0,0.9862987987987988,,,,
Fig5,B,PAARBO,,,200.0,0.9862987987987988,,,,
Fig5,B,PAARBO,,,300.0,0.9816066066066066,,,,
Fig5,B,PAARBO,,,500.0,0.9598348348348348,,,,
Fig5,B,PACHEM,,,10.0,0.0,,,,
Fig5,B,PACHEM,,,20.0,0.0,,,,
Fig5,B,PACHEM,,,100.0,0.4630255255255255,,,,
Fig5,B,PACHEM,,,200.0,0.948385885885886,,,,
Fig5,B,PACHEM,,,300.0,0.9478228228228228,,,,
Fig5,B,PACHEM,,,500.0,0.9322447447447448,,,,
Fig5,B,PAJUSS,,,10.0,0.0,,,,
Fig5,B,PAJUSS,,,20.0,0.0,,,,
Fig5,B,PAJUSS,,,100.0,0.0,,,,
Fig5,B,PAJUSS,,,200.0,0.0,,,,
Fig5,B,PAJUSS,,,300.0,0.9921171171171173,,,,
Fig5,B,PAJUSS,,,500.0,0.9780405405405406,,,,
Fig5,B,PALUPD,,,10.0,0.0,,,,
Fig5,B,PALUPD,,,20.0,0.0,,,,
Fig5,B,PALUPD,,,100.0,0.9949324324324323,,,,
Fig5,B,PALUPD,,,200.0,0.996433933933934,,,,
Fig5,B,PALUPD,,,300.0,0.9945570570570572,,,,
Fig5,B,PALUPD,,,500.0,0.9637762762762764,,,,
Fig5,B,PAROIS,,,10.0,0.0,,,,
Fig5,B,PAROIS,,,20.0,0.0,,,,
Fig5,B,PAROIS,,,100.0,0.0,,,,
Fig5,B,PAROIS,,,200.0,0.0,,,,
Fig5,B,PAROIS,,,300.0,0.8856981981981982,,,,
Fig5,B,PAROIS,,,500.0,0.8547297297297297,,,,
Fig5,B,PASIRT,,,10.0,0.0,,,,
Fig5,B,PASIRT,,,20.0,0.0,,,,
Fig5,B,PASIRT,,,100.0,0.0,,,,
Fig5,B,PASIRT,,,200.0,0.9365615615615616,,,,
Fig5,B,PASIRT,,,300.0,0.9288663663663664,,,,
Fig5,B,PASIRT,,,500.0,0.8811936936936937,,,,
Fig5,C,10-100,,,,,0.0,,,
Fig5,C,20-200,,,,,0.0,,,
Fig5,C,100-200,,,,,0.4060935935935936,1.6435723946636251,,
Fig5,C,100-300,,,,,0.404029029029029,2.2476043969143182,,
Fig5,C,200-500,,,,,0.617555055055055,1.37184813997116,,
Fig5,D,-12,,,,,,,-0.0410782077378849,0.0869608705095184
Fig5,D,-11,,,,,,,-0.0313802708039025,0.0858859915393085
Fig5,D,-10,,,,,,,0.0663351523686048,0.1015872836862034
Fig5,D,-9,,,,,,,0.0114301260301213,0.0896080347519127
Fig5,D,-8,,,,,,,0.1641017627176088,0.098387882594233
Fig5,D,-7,,,,,,,0.1433835277755142,0.0974156047187923
Fig5,D,-6,,,,,,,0.3406557963239646,0.0991236541486266
Fig5,D,-5,,,,,,,0.0891414008464106,0.1027947467299119
Fig5,D,-4,,,,,,,0.1583734681901965,0.0991213573010778
Fig5,D,-3,,,,,,,0.2075698605140592,0.1003725917054243
Fig5,D,-2,,,,,,,0.2381293466714898,0.0958221222588408
Fig5,D,-1,,,,,,,0.4495703110062679,0.1036805329058484
Fig5,D,0,,,,,,,1.7173267435687918,0.0702540662336392
Fig5,D,1,,,,,,,0.7984701663323164,0.1011077690927679
Fig5,D,2,,,,,,,0.7120116029219045,0.1083473909480302
Fig5,D,3,,,,,,,0.5778665635795333,0.1109129649149513
Fig5,D,4,,,,,,,0.4525246548386781,0.1053362654388534
Fig5,D,5,,,,,,,0.3813563425348356,0.1048211091774504
Fig5,D,6,,,,,,,0.2483057953833459,0.0968472798136756
Fig5,D,7,,,,,,,0.2688092788901137,0.1094366399631113
Fig5,D,8,,,,,,,0.096638834119144,0.0941978565626166
Fig5,D,9,,,,,,,0.0539573369622951,0.0949147688079226
Fig5,D,10,,,,,,,0.0103481554794458,0.0917762793414216
Fig5,D,11,,,,,,,0.0085302287512028,0.0983985844429785
Fig5,D,12,,,,,,,-0.0388356672785032,0.0878622338318472
